Contig_ID,Bin_ID,group,2-1-2.norm_fold,2-8-2.norm_fold,2-9-2.norm_fold,2-10-2.norm_fold,2-12-2.norm_fold
k127_105473,metabat.113,PL_SUB,0.384722991813583,0.823902543641035,2.90880703894114,0.367355298331943,0.572097665684297
k127_137477,metabat.113,PL_SUB,0.00537532761695045,1.68068154077646,1.50288131722615,0.458676076285378,2.52886160885013
k127_201593,metabat.113,PL_P2,0.00624759173329129,0.219644706735828,3.18823133461075,0.0321483407113704,0.0403145926843124
k127_204768,metabat.113,PL_SUB,0.10822617023499,0.576717126649684,2.5660405992404,0.218934269654649,0.330159716337567
k127_240316,metabat.113,PL_ALL,0.411119884634348,1.01242064482673,0.997039716879737,1.01335275227331,0.850985059075996
k127_247995,metabat.113,PL_P2,0.0149484262937912,0.286397526835599,2.17572519433174,0.0882633658038357,0.149393562140297
k127_263171,metabat.113,PL_P2,0.117352233552206,0.321247946730146,2.18765781833149,0.19649361410479,0.237200984706323
k127_301814,metabat.113,PL_P2,0.0169437304599209,0.292250466511186,2.53769154070144,0.0886435343898629,0.140177198312745
k127_333437,metabat.113,BO,0.537859860738673,1.5774060323034,3.3252749798168,0.608724869049324,0.994085065358354
k127_381766,metabat.113,PL_P2,0.0202256241976533,0.296896614501085,2.45210582373772,0.089168274128323,0.146252383460311
k127_617089,metabat.113,PL_P2,0.0300167889035793,0.307818079256561,2.68025977298243,0.0930931131925192,0.124275331198377
k127_632951,metabat.113,PL_P2,0.0351086306827189,0.351236720119493,2.44407006071963,0.108390882914769,0.203291932859629
k127_711968,metabat.113,PL_SUB,0.194056959282929,2.13515928960656,0.600213407597983,1.68749339055495,0.266249888434964
k127_787647,metabat.113,PL_SUB,0.127688563330845,0.862752615979577,2.70728365674657,0.301784248972942,0.503926809304922
k127_799128,metabat.113,PL_SUB,0.0961998287309408,0.515291429848165,2.6933420919923,0.183284094362127,0.336335687966844
k127_891037,metabat.113,PL_SUB,0.0610039716365877,0.528867836312155,2.46415341723848,0.167076061828263,0.323239044593427
k127_910970,metabat.113,PL_P2,0.0119173084895068,0.24726299645686,2.13512885842184,0.0703686698249217,0.111548238257899
k127_930827,metabat.113,PL_SUB,0.0588342146471899,0.70609381529605,2.84286295357132,0.275916721661711,0.378419643330079
k127_1038317,metabat.113,PL_P2,0.0310198926373712,0.217619020691995,2.64382049218806,0.050326824508023,0.0815362637040219
k127_1054286,metabat.113,PL_P2,0,0.249624860184563,2.14665001262849,0.0737259332536407,0.108575037047431
k127_1098646,metabat.113,PL_P2,0.00545165072713027,0.241582455593514,2.52911118531014,0.0500376822031573,0.0884121414562907
k127_1242408,metabat.113,PL_P2,0.0128331858116647,0.326695749196966,2.83312685214353,0.112620927745212,0.131447969146794
k127_1305118,metabat.113,PL_P2,0.05197603803246,0.466269827587396,2.41525507315025,0.167215278493569,0.171409809145119
