Contig_ID	Bin_ID	2-1-2.norm_fold	2-8-2.norm_fold	2-9-2.norm_fold	2-10-2.norm_fold	2-12-2.norm_fold
k127_2277662	metabat.170	1.3257978436322648	0.0006637354271284013	0.016882363569626316	0.004037283293866301	0.0064783310744096516
k127_2281122	metabat.170	0.3636687167054061	0.2116712616696756	0.1729806908117948	0.12769916349524857	0.06094222594111897
k127_2282385	metabat.170	1.5109140957227003	0.06325312421127544	0.10921497493483347	0.10906554829278872	0.06190529676635532
k127_2283484	metabat.170	1.3444206825161418	0.006266696824965555	0.005536689127673146	0.002173921773620316	0.0
k127_2287372	metabat.170	1.1035231401857095	0.0	0.0	0.0	0.0006887076250236708
k127_2297206	metabat.170	1.3714717734241624	0.007956205184928757	0.007830028121539946	0.0051884980262021825	0.0
k127_2306653	metabat.170	1.5730956239163483	0.016455466628417115	0.0154724744256396	0.013734259481123426	0.018505517891896195
k127_2308840	metabat.170	1.1836733091759786	0.0	0.005143372413685437	0.0027682698447332598	0.015952260355223073
k127_2325082	metabat.170	1.395862458777343	0.026695956075541018	0.032203562336039875	0.004503123673927798	0.01922782101082346
k127_2325416	metabat.170	0.7804692213974239	0.43980660990838033	0.265464577836228	0.22789768110548742	0.2636126421635319
k127_2327353	metabat.170	0.20364096126122413	0.4081197082184583	0.15505149968032425	0.21745643120755734	0.1729552018646843
k127_2328937	metabat.170	0.9720293246473273	0.01201619721320768	0.0008652967707729617	0.013546852431673398	0.01589626786538375
k127_2331005	metabat.170	1.2925645807996786	0.04153949380950345	0.021505347715574167	0.07712603257937692	0.00664630854392762
k127_2334325	metabat.170	1.3150908016041811	0.001137832160791545	0.002813727261604386	0.003764204450381976	0.0049609345997640025
k127_2342836	metabat.170	2.4469298156666053	0.3279456405857146	0.2206748806525814	0.240780577133395	0.11942638157829165
k127_2352050	metabat.170	1.3753860586462419	0.057684642575886506	0.049618416226141854	0.04289479637554767	0.030034371549812765
k127_2354410	metabat.170	1.320858648073485	0.01899834910897398	0.011254909046417544	0.0059863166081465845	0.009361944301134776
k127_2357737	metabat.170	1.0939391382074144	0.0	0.0018395120161886738	0.0	0.0
k127_2372610	metabat.170	1.1818306512302086	0.0	0.0069465782716598605	0.0	0.006472731825425719
k127_2387952	metabat.170	1.2400651842974142	0.009085417405108246	0.009615080900407247	0.0006157660196215181	0.0016181829563564297
k127_2388367	metabat.170	0.3377297625457203	0.35465883654247976	0.21628788653502617	0.24353278351674681	0.20291118392872198
k127_2396057	metabat.170	1.8604848436477477	0.12694586539376576	0.09132208996157719	0.052147350131251866	0.07520911235217842
k127_2398136	metabat.170	1.036925774903086	0.0	0.006867914928862319	0.006494992885225231	0.0062431626170844955
k127_2416576	metabat.170	1.6169487023653841	0.033428129693557664	0.03423065616966884	0.013670005635597704	0.016366604780034065
k127_2418242	metabat.170	1.3100425730308585	0.0	0.010776877963263251	0.0007549826849272526	0.0008230896006380455
k127_2420389	metabat.170	1.405849882909446	0.0229376619686841	0.012156511975404755	0.00957382298333282	0.0019037446545369762
k127_2423350	metabat.170	1.9887185720513059	0.23037653279783965	0.16568920403709955	0.1913800788983678	0.11626840515135384
k127_2426734	metabat.170	1.2894026233779432	0.0010343928734468592	0.0	0.005118889693549316	0.0024916657978498657
k127_2433783	metabat.170	1.2560821341337232	0.005499522110492467	0.007237027537373862	0.005290233281617912	0.00520170230607309
k127_2437863	metabat.170	1.0660484930874161	0.05387462882535724	0.03125960222246937	0.04970034951414723	0.011310482947543212
k127_2446187	metabat.170	0.8725257955757456	0.0016205488350667459	0.0	0.0	0.0
k127_2473310	metabat.170	1.2673561478374282	0.03151450287768097	0.014014177070700554	0.06357382566057639	0.006534323564248974
k127_2478192	metabat.170	1.3666307075784707	0.02824754538571131	0.0021904715455930922	0.012973922309069028	0.010414603110114046
k127_2484737	metabat.170	1.3924715320250682	0.1074820394917407	0.06300933758083112	0.0740418479941422	0.06473851675222506
k127_2486694	metabat.170	1.336515788961803	0.0037151944037966357	0.003927116113508057	0.003185919840650463	0.01206638156037407
k127_2517051	metabat.170	1.3934201192515887	0.010955944517924648	0.009911581192490289	0.015817154973582298	0.006495128821361449
k127_2518486	metabat.170	1.246454518949611	0.009180236751840874	0.005784781208803856	0.002409519207214636	0.004647376656663795
k127_2530060	metabat.170	1.1443123909260982	0.020644757765876896	0.017820272656827778	0.0067573627544552685	0.002374081569187288
k127_2532358	metabat.170	1.443771565367364	0.004508228940105894	0.0	0.002173921773620316	0.0
k127_2532959	metabat.170	1.1956669407756655	0.043306581634975166	0.008356467415646574	0.07780605244452417	0.0004423406697306504
k127_2542749	metabat.170	1.198458185947956	0.0014653899040497171	0.016664526620340812	0.013075657564484758	0.0008342880986059102
k127_2547509	metabat.170	1.3715808064387047	0.023911715257846557	0.023931809289559885	0.02509112667779508	0.013180632108176594
k127_2569194	metabat.170	1.050020639949653	0.009171616811228817	0.008217293809158616	0.006752008267328124	0.00360591634565239
k127_2572334	metabat.170	0.11558589871661601	0.3515039382784668	0.15978340230091487	0.19344691092944527	0.2086336163903008
k127_2576220	metabat.170	1.5679165557255745	0.019894822932627922	0.044759442051801386	0.03621239644087241	0.01981574215413635
k127_2580318	metabat.170	1.1485319685888968	0.028868181109779425	0.012846328981475507	0.06417352821881647	0.0029899989574198394
k127_2595890	metabat.170	1.2251603712094399	0.020317200022618723	0.007406456275707029	0.0039034211156877105	0.006685503286815146
k127_2607229	metabat.170	1.1851997713795752	0.008826819186746531	0.011466694969334003	0.0	0.006108780641470121
k127_2612605	metabat.170	1.4135040005303368	0.00455132864316618	0.0015490627504746728	0.0	0.0
k127_2618325	metabat.170	1.2266432202072195	0.043366921219259565	0.014129146571712348	0.02837878177386127	0.01947418796611648
k127_2630421	metabat.170	1.0057205261409925	0.0	0.0	0.0	0.0
k127_2637323	metabat.170	1.0476219136297156	0.0	0.0016277260932722147	0.0025219634368846525	0.004395410452386842
k127_2646187	metabat.170	0.22802074331295072	0.2540727495403847	0.16320828322579248	0.2291077951962219	0.1838681381343683
k127_2652043	metabat.170	1.2831005151373807	0.009197476633064989	0.0022146756510692586	0.0012261775521158927	0.005498462502221501
k127_2664915	metabat.170	1.1970516600603565	0.0	0.0	0.0019704512627888577	0.0
k127_2671750	metabat.170	0.7011258967147699	0.3823633256696315	0.48334993533268117	0.2659145397082072	0.21632698449422377
