Contig_ID,Bin_ID,group,2-1-2.norm_fold,2-8-2.norm_fold,2-9-2.norm_fold,2-10-2.norm_fold,2-12-2.norm_fold,SPE_group
k127_22792,metabat.179,PL_SUB,0.140936074597772,1.82378979481783,0.723382049339827,15.7402966653593,0.389153403632278,KI
k127_26430,metabat.179,PL_SUB,0.129880126923152,1.6135063435867,0.603069492044171,16.9823234993715,0.287868588761927,KI
k127_64248,metabat.179,PL_ALL,0.291172665336028,2.17412142117306,0.896483760679003,17.604530967007,0.537964643878246,KI
k127_67417,metabat.179,PL_SUB,0.163833007651719,1.78375879061544,0.715558072244656,15.835670790068,0.37972986759232,KI
k127_104834,metabat.179,PL_SUB,0.0757234285998395,1.60102466958044,0.499009991575761,16.6936309714244,0.235728382223549,KI
k127_137879,metabat.179,PL_SUB,0.0375509702084733,1.17322563694465,0.329853549429201,17.5485872855026,0.140389969774134,KI
k127_525937,metabat.179,PL_SUB,0.0616036532165721,1.8382109554618,0.733118150767615,16.7485412369133,0.298327985863912,KI
k127_580656,metabat.179,PL_SUB,0.161074472383791,1.99733505916038,0.639115456124552,19.6782328050686,0.292124017989715,KI
k127_676357,metabat.179,PL_SUB,0.161336151618693,1.66988075518955,0.565268730316767,18.1561555853325,0.295629147853657,KI
k127_713037,metabat.179,PL_SUB,0.0903447558500029,1.65859725292837,0.579071121464552,15.8887658844207,0.282000575826766,KI
k127_796303,metabat.179,PL_ALL,0.215590979655094,2.35820887288415,1.02544928568239,17.500048859695,0.619450514341412,KI
k127_853598,metabat.179,PL_SUB,0.15526301270867,1.59837834781253,0.610427540108926,17.3553652630325,0.315461687754745,KI
k127_854051,metabat.179,PL_SUB,0.0890581662784001,1.44327975637979,0.525434823729366,17.5966919978529,0.19513382709004,KI
k127_859394,metabat.179,PL_SUB,0.10653615850958,1.65714910290554,0.54656500781006,16.6202584343212,0.290158681596355,KI
k127_961481,metabat.179,PL_SUB,0.133783508843777,1.56064024781295,0.605701688514704,18.0648722887889,0.272252283345739,KI
k127_1004749,metabat.179,PL_SUB,0.117188684030392,1.69118062844194,0.638413537065743,16.4355661098446,0.318418091218261,KI
k127_1054772,metabat.179,PL_SUB,0.206366786624789,1.91395437361995,0.735266265128625,16.8283230951077,0.406931019156263,KI
k127_1303888,metabat.179,PL_SUB,0.199497706708605,1.87030299436049,0.713972703335967,15.8069760935536,0.417715172699316,KI
k127_1761644,metabat.179,PL_SUB,0.123578018682589,1.34696053998066,0.422089344372503,17.7320159510172,0.222519753870453,KI
k127_1852719,metabat.179,PL_SUB,0.0603170636449693,1.92459138033523,0.662756816148398,16.8577888377684,0.265757154524378,KI
k127_1968819,metabat.179,PL_SUB,0.203815414084492,2.11112689518014,0.858356243527671,16.8776593394972,0.452912051812315,KI
k127_2103078,metabat.179,PL_SUB,0.126576426582511,1.65624400914127,0.64304257223806,15.9107781810004,0.325103594505076,KI
k127_2196141,metabat.179,PL_SUB,0.144043515512236,1.68843948732731,0.629633497804264,16.8374524956595,0.326923350424854,KI
k127_2237853,metabat.179,PL_SUB,0.15357300098326,1.7528476835806,0.637760026217887,16.8529430269183,0.361078769226841,KI
k127_2270236,metabat.179,PL_SUB,0.197709565270106,1.92238467553854,0.738606431684336,16.6563369685839,0.387098479255174,KI
k127_2427501,metabat.179,PL_SUB,0.0987948144770548,1.49749056288902,0.498066031462191,16.7871524435871,0.260505058977449,KI
k127_2610720,metabat.179,PL_ALL,0.385595255929924,2.65876896214536,1.27708726826536,17.9973414971414,0.735786110480574,KI
k127_2612503,metabat.179,PL_SUB,0.1224549786328,1.69647327197775,0.625887912481827,15.9622990561378,0.298641543807012,KI
k127_2985758,metabat.179,PL_SUB,0.170473118237364,1.59139619591677,0.618463303127013,16.9444030215371,0.31818852200992,KI
k127_3363111,metabat.179,PL_SUB,0.12562783935599,1.53565965991921,0.513804751048068,16.8881327163179,0.282655687957886,KI
k127_3450107,metabat.179,PL_SUB,0.0710241056730532,1.51644581229493,0.431226394189756,17.6167713245796,0.224664266231299,KI
k127_3514032,metabat.179,PL_SUB,0.128081082183199,1.75759727085784,0.605132892036014,16.0449187925096,0.342987595759756,KI
k127_3763042,metabat.179,PL_ALL,0.258898893031417,2.26922522594588,0.930557090163076,17.693517188573,0.549297523821725,KI
k127_3785440,metabat.179,PL_SUB,0.114997120438086,1.42546233913467,0.448750166554501,18.2250035808133,0.292807126365755,KI
k127_4037824,metabat.179,PL_ALL,0.266454880939219,1.94764110153187,0.760765290247767,17.8682822939158,0.533765207140297,KI
k127_4052180,metabat.179,PL_SUB,0.0804227515266258,1.73377175500612,0.603214716677028,15.9220547308902,0.266501854639241,KI
k127_4735353,metabat.179,PL_SUB,0.0756689120925682,1.30900694146578,0.448804625791822,16.389383658373,0.175558852642213,KI
k127_4868079,metabat.179,PL_SUB,0.12511538418764,1.84340877965087,0.611298887906068,17.1871701133947,0.31863086267965,KI
k127_5231535,metabat.179,PL_SUB,0.0839336145948977,1.57938861864417,0.452695435747116,18.562282724952,0.183996920860999,KI
