#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads
k127_1054772 flag=0 multi=212.7225 len=228986	0.03550	4.88483	0.00105	0.12984	38671	1143
k127_2537710 flag=0 multi=86.4448 len=126678	0.03085	4.51562	0.00001	0.00069	33599	8
k127_2237853 flag=0 multi=214.4438 len=166290	0.02335	3.20109	0.00051	0.06192	25439	551
k127_3763042 flag=0 multi=224.9066 len=119252	0.02152	2.99160	0.00085	0.10570	23441	927
k127_2158484 flag=0 multi=120.5038 len=56860	0.02123	2.95476	0.00038	0.04642	23129	417
k127_67417 flag=0 multi=188.1244 len=145021	0.02122	2.90987	0.00043	0.05006	23118	469
k127_2916870 flag=0 multi=81.6875 len=81866	0.02062	3.00993	0.00001	0.00053	22460	7
k127_2270236 flag=0 multi=201.5725 len=124040	0.01932	2.66399	0.00050	0.06175	21047	541
k127_676357 flag=0 multi=227.3348 len=137453	0.01877	2.59442	0.00042	0.05111	20449	456
k127_3363111 flag=0 multi=207.4846 len=124275	0.01570	2.14911	0.00043	0.05274	17104	473
k127_26430 flag=0 multi=213.3520 len=116848	0.01503	2.08378	0.00023	0.03134	16368	254
k127_652740 flag=0 multi=108.5432 len=49573	0.01465	2.03124	0.00010	0.01105	15961	113
k127_22792 flag=0 multi=206.0229 len=91118	0.01388	1.91579	0.00027	0.03262	15123	289
k127_3535819 flag=1 multi=94.9859 len=70946	0.01375	1.93368	0.00009	0.00894	14982	96
k127_462463 flag=0 multi=86.2491 len=17294	0.01342	1.89005	0.00000	0.00015	14620	1
k127_961481 flag=0 multi=224.5363 len=103576	0.01332	1.83626	0.00011	0.01297	14506	115
k127_2612503 flag=0 multi=195.0224 len=94155	0.01298	1.78051	0.00015	0.01562	14137	158
k127_4868079 flag=0 multi=216.1035 len=85897	0.01240	1.71410	0.00019	0.02287	13504	209
k127_2291168 flag=1 multi=39.6368 len=117565	0.01211	1.75312	0.00004	0.00485	13196	45
k127_1004749 flag=1 multi=207.7551 len=92710	0.01193	1.63765	0.00032	0.04147	12992	350
k127_1761644 flag=0 multi=216.0289 len=103990	0.01171	1.60882	0.00012	0.01378	12754	129
k127_596753 flag=0 multi=119.5482 len=29418	0.01101	1.53005	0.00014	0.01475	11988	155
k127_5231535 flag=0 multi=239.4576 len=91529	0.01098	1.52599	0.00007	0.00895	11956	80
k127_854051 flag=0 multi=216.3714 len=92769	0.01080	1.49510	0.00004	0.00473	11762	46
k127_181509 flag=0 multi=79.6503 len=45151	0.01073	1.56725	0.00001	0.00066	11690	11
k127_1487000 flag=0 multi=142.7771 len=26516	0.01071	1.49204	0.00009	0.01008	11662	101
k127_428781 flag=0 multi=105.6470 len=42166	0.01070	1.49370	0.00004	0.00418	11658	46
k127_1908516 flag=1 multi=50.9824 len=264970	0.01049	1.45075	0.00123	0.16155	11423	1344
k127_1369327 flag=1 multi=49.6747 len=197799	0.01043	1.46893	0.00028	0.03503	11356	305
k127_5157450 flag=0 multi=96.0000 len=9946	0.01035	1.45935	0.00000	0.00012	11276	2
k127_1629908 flag=1 multi=42.3952 len=115300	0.01021	1.46669	0.00001	0.00065	11117	10
k127_1176515 flag=0 multi=43.6303 len=122829	0.01021	1.47472	0.00004	0.00487	11116	48
k127_145294 flag=0 multi=133.7047 len=33859	0.01001	1.39475	0.00004	0.00469	10898	47
k127_4848308 flag=0 multi=119.3973 len=39397	0.00998	1.38277	0.00008	0.00837	10870	91
k127_2436716 flag=0 multi=89.7585 len=40435	0.00988	1.45660	0.00001	0.00092	10761	8
k127_3904746 flag=0 multi=79.8918 len=2871	0.00986	1.38732	0.00000	0.00000	10736	0
k127_2250999 flag=0 multi=105.5649 len=32753	0.00963	1.32901	0.00006	0.00575	10494	70
k127_4260757 flag=0 multi=85.6873 len=38973	0.00955	1.39620	0.00002	0.00301	10404	24
k127_5504198 flag=0 multi=81.0548 len=36726	0.00927	1.36316	0.00001	0.00080	10093	8
k127_635176 flag=0 multi=133.2201 len=5733	0.00926	1.31538	0.00089	0.12158	10084	970
k127_2366619 flag=0 multi=94.0499 len=11451	0.00926	1.30949	0.00000	0.00037	10082	4
k127_336757 flag=0 multi=101.0493 len=26545	0.00925	1.28432	0.00011	0.01340	10077	125
k127_4735353 flag=0 multi=202.2259 len=94008	0.00924	1.26778	0.00012	0.01378	10065	126
k127_348162 flag=0 multi=71.3611 len=3630	0.00914	1.28599	0.00000	0.00015	9959	3
k127_351849 flag=0 multi=57.8042 len=106497	0.00911	1.31369	0.00007	0.00904	9924	77
k127_5262185 flag=1 multi=59.9828 len=13800	0.00906	1.26956	0.00002	0.00286	9873	24
k127_3037777 flag=0 multi=69.8769 len=62144	0.00886	1.24433	0.00008	0.00847	9649	91
k127_4684462 flag=0 multi=91.6087 len=9399	0.00874	1.26653	0.00024	0.03028	9525	260
k127_5079517 flag=0 multi=116.3932 len=20786	0.00872	1.22099	0.00032	0.04195	9502	344
k127_4662294 flag=0 multi=96.9514 len=35037	0.00871	1.28073	0.00004	0.00568	9489	45
k127_1995078 flag=0 multi=50.7889 len=72394	0.00869	1.22414	0.00002	0.00233	9470	22
k127_2103078 flag=0 multi=193.0552 len=63704	0.00866	1.19146	0.00012	0.01317	9435	129
k127_1414392 flag=0 multi=80.9330 len=44874	0.00859	1.26484	0.00003	0.00420	9360	31
k127_3278493 flag=0 multi=125.1893 len=22589	0.00855	1.19900	0.00037	0.04934	9316	399
k127_1180300 flag=0 multi=40.0019 len=126570	0.00848	1.27249	0.00012	0.01807	9233	133
k127_2985758 flag=0 multi=209.0000 len=68842	0.00842	1.15333	0.00025	0.03041	9175	270
k127_358369 flag=0 multi=44.0349 len=95573	0.00813	1.17504	0.00004	0.00441	8852	39
k127_3318291 flag=0 multi=96.6515 len=30340	0.00793	1.16294	0.00003	0.00352	8636	32
k127_299757 flag=0 multi=119.9012 len=23375	0.00791	1.09874	0.00017	0.02212	8619	188
k127_3101191 flag=1 multi=56.8422 len=10500	0.00785	1.14511	0.00139	0.19178	8550	1517
k127_2342843 flag=1 multi=46.0156 len=153986	0.00768	1.07685	0.00011	0.01229	8362	119
k127_1200916 flag=0 multi=110.9209 len=24109	0.00767	1.06450	0.00002	0.00219	8355	25
k127_1959797 flag=0 multi=74.5664 len=32692	0.00759	1.10757	0.00004	0.00530	8263	44
k127_703428 flag=0 multi=173.2915 len=22228	0.00758	1.06388	0.00006	0.00658	8261	63
k127_150954 flag=0 multi=1303.3869 len=1758	0.00755	1.07902	0.00000	0.00000	8221	0
k127_2599633 flag=0 multi=128.5728 len=23779	0.00749	1.04622	0.00012	0.01562	8158	132
k127_1211298 flag=0 multi=60.4847 len=59781	0.00736	1.03931	0.00005	0.00454	8014	55
k127_2507199 flag=0 multi=44.6312 len=140273	0.00734	1.02125	0.00025	0.02937	7997	277
k127_2427501 flag=0 multi=218.4841 len=58912	0.00730	1.00268	0.00016	0.01735	7951	171
k127_704147 flag=0 multi=87.3362 len=34973	0.00727	0.99692	0.00001	0.00173	7917	16
k127_5147453 flag=0 multi=111.2026 len=2738	0.00709	1.00530	0.00001	0.00124	7725	10
k127_2227647 flag=0 multi=98.2191 len=23332	0.00706	0.99066	0.00016	0.02004	7690	172
k127_509377 flag=0 multi=90.7283 len=33746	0.00704	0.98695	0.00008	0.00990	7670	83
k127_705224 flag=0 multi=68.1212 len=57191	0.00699	0.97553	0.00001	0.00165	7613	15
k127_2461824 flag=1 multi=26.3677 len=69452	0.00698	0.98825	0.00006	0.00654	7601	67
k127_2033331 flag=1 multi=75.2178 len=13381	0.00685	0.98028	0.00008	0.00998	7464	84
k127_64248 flag=0 multi=216.7978 len=38441	0.00681	0.94003	0.00028	0.03654	7415	304
k127_104834 flag=0 multi=208.0003 len=50996	0.00677	0.93274	0.00004	0.00462	7369	44
k127_5947564 flag=0 multi=99.2286 len=17204	0.00674	0.93731	0.00021	0.02716	7339	233
k127_4064174 flag=0 multi=91.2165 len=2903	0.00671	0.93745	0.00002	0.00168	7307	17
k127_558516 flag=0 multi=101.8633 len=37753	0.00669	0.92607	0.00002	0.00146	7284	20
k127_329500 flag=0 multi=65.5996 len=53144	0.00663	0.92718	0.00009	0.01071	7220	97
k127_853598 flag=0 multi=215.0911 len=49407	0.00660	0.90737	0.00012	0.01406	7194	136
k127_1906104 flag=0 multi=89.9161 len=22488	0.00653	0.90550	0.00006	0.00662	7110	63
k127_987942 flag=0 multi=65.6705 len=36272	0.00646	0.94399	0.00006	0.00898	7032	68
k127_2279962 flag=0 multi=74.8656 len=51332	0.00635	0.89560	0.00002	0.00220	6915	24
k127_591233 flag=0 multi=35.0000 len=105598	0.00634	0.94760	0.00002	0.00320	6903	26
k127_1277093 flag=0 multi=81.3770 len=24736	0.00633	0.92467	0.00001	0.00116	6890	8
k127_1158422 flag=0 multi=48.2580 len=122320	0.00631	0.89169	0.00005	0.00522	6871	52
k127_286062 flag=1 multi=43.6512 len=75599	0.00630	0.89955	0.00001	0.00128	6865	15
k127_2660579 flag=0 multi=82.0428 len=25372	0.00629	0.93436	0.00002	0.00270	6846	21
k127_2459601 flag=0 multi=100.9955 len=19156	0.00627	0.87128	0.00016	0.02056	6833	174
k127_5362465 flag=0 multi=94.3080 len=24394	0.00626	0.91778	0.00001	0.00105	6821	8
k127_4514446 flag=1 multi=86.0639 len=31120	0.00626	0.87045	0.00002	0.00267	6816	24
k127_197956 flag=0 multi=78.4072 len=49918	0.00620	0.87002	0.00002	0.00196	6749	23
k127_4479944 flag=0 multi=109.9773 len=12906	0.00616	0.86814	0.00028	0.03465	6714	301
k127_3565344 flag=0 multi=100.8184 len=16562	0.00616	0.85272	0.00005	0.00469	6712	50
k127_3785440 flag=0 multi=225.4471 len=55643	0.00615	0.84770	0.00025	0.03282	6704	270
k127_2552213 flag=0 multi=61.0489 len=47108	0.00610	0.86127	0.00001	0.00114	6644	16
k127_1891571 flag=0 multi=54.7955 len=63932	0.00607	0.87567	0.00031	0.04368	6607	337
k127_3060857 flag=0 multi=147.7437 len=13874	0.00605	0.84796	0.00023	0.02948	6595	250
k127_3107563 flag=0 multi=101.6715 len=2742	0.00595	0.87142	0.00139	0.19493	6478	1517
k127_2734149 flag=1 multi=107.0425 len=24023	0.00592	0.82073	0.00018	0.02323	6447	200
k127_3973650 flag=0 multi=76.1638 len=50689	0.00591	0.83403	0.00003	0.00321	6437	30
k127_4047195 flag=0 multi=93.7387 len=20667	0.00590	0.86804	0.00000	0.00044	6428	3
k127_3844434 flag=0 multi=105.3394 len=22113	0.00590	0.82152	0.00023	0.02999	6427	249
k127_617444 flag=0 multi=104.7713 len=4058	0.00587	0.84170	0.00000	0.00000	6396	0
k127_5171805 flag=0 multi=46.2359 len=112399	0.00585	0.81440	0.00031	0.03797	6371	334
k127_2914901 flag=0 multi=124.9820 len=18795	0.00584	0.81445	0.00002	0.00216	6356	27
k127_2064034 flag=0 multi=84.3791 len=72445	0.00581	0.81861	0.00004	0.00435	6327	46
k127_2901043 flag=0 multi=35.9911 len=86765	0.00580	0.86605	0.00008	0.01241	6322	90
k127_5166873 flag=1 multi=36.7532 len=95342	0.00576	0.86243	0.00001	0.00180	6278	16
k127_3125854 flag=0 multi=102.3657 len=29358	0.00576	0.80670	0.00001	0.00122	6276	16
k127_1146544 flag=1 multi=62.3137 len=47623	0.00576	0.80445	0.00004	0.00357	6270	42
k127_770583 flag=0 multi=90.2646 len=30194	0.00574	0.83195	0.00000	0.00053	6251	5
k127_3113449 flag=0 multi=55.4665 len=44121	0.00571	0.80347	0.00018	0.02270	6224	195
k127_3237384 flag=0 multi=42.9059 len=92324	0.00570	0.85339	0.00005	0.00787	6211	57
k127_912047 flag=0 multi=95.5927 len=23196	0.00570	0.82555	0.00006	0.00751	6209	62
k127_319515 flag=0 multi=318.6492 len=30748	0.00569	0.79644	0.00002	0.00281	6196	27
k127_421104 flag=0 multi=85.4160 len=23096	0.00566	0.80172	0.00006	0.00820	6169	69
k127_1824608 flag=1 multi=124.2773 len=27629	0.00566	0.79591	0.00008	0.00950	6162	83
k127_3224907 flag=1 multi=42.3627 len=63023	0.00565	0.80339	0.00004	0.00430	6154	41
k127_519053 flag=0 multi=116.0972 len=26441	0.00564	0.79211	0.00004	0.00479	6147	46
k127_3244463 flag=0 multi=95.4767 len=13995	0.00563	0.79266	0.00011	0.01451	6135	115
k127_1608968 flag=0 multi=45.4445 len=105695	0.00563	0.79476	0.00011	0.01411	6128	118
k127_5461061 flag=0 multi=45.0006 len=85277	0.00555	0.77274	0.00051	0.06514	6042	554
k127_1125839 flag=0 multi=98.7794 len=14770	0.00549	0.77217	0.00014	0.01867	5985	155
k127_5099194 flag=0 multi=44.0000 len=105823	0.00542	0.75465	0.00010	0.01091	5902	106
k127_829637 flag=0 multi=95.5928 len=21776	0.00537	0.78228	0.00001	0.00127	5852	12
k127_3084535 flag=0 multi=107.7831 len=8801	0.00535	0.76324	0.00016	0.02011	5830	177
k127_212605 flag=0 multi=116.0758 len=21289	0.00535	0.74632	0.00005	0.00507	5824	51
k127_3783067 flag=0 multi=130.3857 len=10985	0.00534	0.74066	0.00015	0.01824	5817	158
k127_317068 flag=0 multi=103.1187 len=22655	0.00534	0.77872	0.00001	0.00180	5815	15
k127_2438466 flag=1 multi=84.7266 len=26033	0.00532	0.73381	0.00009	0.01004	5794	94
k127_3387891 flag=0 multi=120.5343 len=20323	0.00532	0.74010	0.00004	0.00393	5790	44
k127_1094293 flag=0 multi=57.0122 len=42846	0.00531	0.74307	0.00001	0.00104	5784	9
k127_467803 flag=1 multi=86.8796 len=26584	0.00531	0.74145	0.00003	0.00335	5779	32
k127_2271735 flag=0 multi=60.3431 len=44478	0.00530	0.74275	0.00002	0.00148	5772	19
k127_1470317 flag=0 multi=75.7525 len=34460	0.00529	0.73821	0.00001	0.00129	5764	11
k127_713037 flag=0 multi=214.7361 len=39177	0.00526	0.72557	0.00008	0.00952	5731	92
k127_619385 flag=0 multi=82.2186 len=23801	0.00525	0.71734	0.00003	0.00315	5718	29
k127_1776423 flag=0 multi=52.9762 len=61491	0.00524	0.75451	0.00004	0.00512	5711	44
k127_1449820 flag=0 multi=96.7449 len=21627	0.00524	0.76125	0.00000	0.00063	5705	5
k127_547013 flag=1 multi=62.9303 len=34161	0.00523	0.75312	0.00004	0.00434	5700	42
k127_159070 flag=0 multi=63.5985 len=41863	0.00519	0.73259	0.00012	0.01490	5652	132
k127_2647313 flag=1 multi=47.3183 len=96599	0.00514	0.72495	0.00022	0.02864	5598	244
k127_906252 flag=0 multi=103.5961 len=41724	0.00509	0.72359	0.00002	0.00120	5541	17
k127_3125418 flag=0 multi=65.9595 len=40726	0.00508	0.71506	0.00007	0.00756	5537	74
k127_326093 flag=0 multi=73.4406 len=6813	0.00508	0.68773	0.00002	0.00224	5532	18
k127_350979 flag=1 multi=77.1617 len=22309	0.00506	0.70899	0.00009	0.01133	5514	102
k127_1314700 flag=0 multi=119.0000 len=15857	0.00505	0.69814	0.00011	0.01470	5500	124
k127_509608 flag=0 multi=120.1575 len=15026	0.00504	0.70523	0.00007	0.00709	5492	71
k127_1182979 flag=0 multi=88.2748 len=21628	0.00504	0.69689	0.00004	0.00449	5485	42
k127_1972275 flag=0 multi=104.7970 len=8434	0.00502	0.71066	0.00017	0.02329	5470	181
k127_438978 flag=0 multi=124.8291 len=16421	0.00502	0.68805	0.00002	0.00239	5465	23
k127_1315271 flag=0 multi=106.1779 len=19005	0.00497	0.69256	0.00002	0.00160	5410	18
k127_1413447 flag=0 multi=47.6289 len=74981	0.00491	0.70782	0.00001	0.00116	5345	13
k127_1709209 flag=0 multi=204.6023 len=3376	0.00489	0.66287	0.00000	0.00014	5328	3
k127_2196141 flag=0 multi=211.9982 len=35263	0.00486	0.67323	0.00009	0.01170	5292	98
k127_2254583 flag=1 multi=53.5760 len=51102	0.00484	0.68841	0.00005	0.00634	5274	59
k127_824481 flag=0 multi=109.5295 len=24638	0.00481	0.67742	0.00005	0.00659	5239	57
k127_392098 flag=1 multi=34.0000 len=76357	0.00480	0.71934	0.00002	0.00277	5227	21
k127_1936217 flag=0 multi=49.0021 len=79906	0.00479	0.67878	0.00017	0.02110	5213	188
k127_356359 flag=0 multi=107.0746 len=11666	0.00477	0.66363	0.00007	0.00665	5198	73
k127_1478689 flag=0 multi=70.0035 len=22735	0.00477	0.65220	0.00001	0.00097	5197	9
k127_5163368 flag=1 multi=36.0000 len=74930	0.00474	0.70990	0.00002	0.00211	5163	17
k127_2084210 flag=0 multi=77.0869 len=25023	0.00470	0.66021	0.00001	0.00109	5122	10
k127_2984096 flag=0 multi=144.4302 len=15948	0.00468	0.64602	0.00008	0.00807	5096	86
k127_3140491 flag=0 multi=43.4749 len=74557	0.00467	0.70460	0.00006	0.00837	5091	63
k127_3911248 flag=0 multi=90.5201 len=21048	0.00466	0.67663	0.00000	0.00049	5074	4
k127_170849 flag=0 multi=100.6910 len=5538	0.00464	0.66664	0.00007	0.00971	5056	79
k127_129980 flag=0 multi=94.7781 len=15118	0.00463	0.65258	0.00013	0.01823	5038	140
k127_1899746 flag=1 multi=45.2281 len=86322	0.00462	0.64243	0.00009	0.00977	5037	98
k127_70117 flag=1 multi=49.0912 len=50463	0.00461	0.66689	0.00007	0.00953	5016	78
k127_3299518 flag=0 multi=106.9034 len=18638	0.00460	0.64046	0.00022	0.02844	5012	242
k127_1761865 flag=0 multi=73.2543 len=35611	0.00458	0.64595	0.00007	0.00592	4990	72
k127_73731 flag=0 multi=119.7775 len=10847	0.00456	0.64008	0.00004	0.00515	4965	42
k127_4670311 flag=0 multi=119.3416 len=9785	0.00455	0.63352	0.00001	0.00083	4961	10
k127_112603 flag=0 multi=48.5829 len=36272	0.00454	0.63823	0.00002	0.00166	4947	17
k127_3280215 flag=0 multi=68.5109 len=24043	0.00452	0.62302	0.00001	0.00161	4919	12
k127_2274362 flag=0 multi=79.9493 len=18334	0.00449	0.62891	0.00010	0.01229	4887	112
k127_1001301 flag=0 multi=108.3419 len=10063	0.00449	0.62595	0.00006	0.00615	4886	60
k127_454730 flag=0 multi=75.6916 len=20985	0.00447	0.62226	0.00004	0.00385	4868	39
k127_2973207 flag=0 multi=144.9345 len=16576	0.00445	0.62276	0.00005	0.00556	4849	52
k127_4413642 flag=0 multi=115.6348 len=3358	0.00445	0.62930	0.00000	0.00014	4847	1
k127_791006 flag=0 multi=76.0002 len=20304	0.00444	0.61062	0.00002	0.00223	4834	22
k127_3597975 flag=0 multi=64.6928 len=36676	0.00443	0.62779	0.00001	0.00060	4830	9
k127_2761888 flag=1 multi=42.8854 len=56524	0.00440	0.63730	0.00004	0.00531	4797	45
k127_3355585 flag=0 multi=130.0130 len=13798	0.00440	0.61715	0.00011	0.01452	4795	124
k127_156095 flag=1 multi=99.6942 len=60436	0.00440	0.62228	0.00009	0.01038	4794	95
k127_750209 flag=0 multi=89.3706 len=20649	0.00434	0.59710	0.00003	0.00429	4728	38
k127_3105245 flag=0 multi=106.6013 len=15509	0.00432	0.60125	0.00003	0.00327	4704	28
k127_1135310 flag=1 multi=54.1544 len=53402	0.00432	0.62584	0.00002	0.00280	4702	23
k127_494661 flag=1 multi=121.0095 len=19317	0.00430	0.60748	0.00002	0.00235	4687	23
k127_2733810 flag=0 multi=118.1640 len=13240	0.00428	0.58413	0.00001	0.00082	4657	7
k127_264094 flag=0 multi=171.5575 len=8871	0.00426	0.60541	0.00020	0.02640	4644	222
k127_1988686 flag=1 multi=70.5295 len=16778	0.00424	0.59097	0.00017	0.02261	4623	185
k127_2115358 flag=0 multi=128.2603 len=7672	0.00424	0.60122	0.00017	0.02201	4620	182
k127_326622 flag=1 multi=79.0824 len=51368	0.00421	0.59191	0.00007	0.00762	4590	80
k127_1211723 flag=0 multi=35.0000 len=70949	0.00420	0.62859	0.00001	0.00078	4574	6
k127_4087007 flag=0 multi=106.7229 len=14960	0.00416	0.57526	0.00005	0.00639	4533	55
k127_98040 flag=1 multi=66.4682 len=22118	0.00416	0.57644	0.00002	0.00194	4529	18
k127_100877 flag=1 multi=48.3229 len=37628	0.00414	0.59304	0.00002	0.00161	4512	17
k127_4614584 flag=0 multi=87.2966 len=17489	0.00414	0.61343	0.00001	0.00165	4507	16
k127_2610720 flag=0 multi=206.5309 len=19099	0.00413	0.57577	0.00021	0.02731	4498	233
k127_2934792 flag=1 multi=36.5711 len=46704	0.00413	0.59073	0.00002	0.00287	4495	27
k127_4845028 flag=0 multi=102.4875 len=23158	0.00412	0.57196	0.00004	0.00399	4487	40
k127_1518517 flag=1 multi=126.2260 len=19733	0.00411	0.57893	0.00005	0.00690	4480	58
k127_424586 flag=0 multi=99.9397 len=11124	0.00410	0.57018	0.00001	0.00131	4466	12
k127_2676664 flag=0 multi=81.6965 len=18021	0.00410	0.59268	0.00001	0.00071	4464	6
k127_659201 flag=0 multi=75.6516 len=2604	0.00410	0.58665	0.00000	0.00000	4461	0
k127_1071980 flag=1 multi=43.1487 len=58745	0.00405	0.60822	0.00002	0.00296	4414	24
k127_2009092 flag=0 multi=113.2169 len=20923	0.00405	0.57085	0.00001	0.00127	4412	14
k127_1978097 flag=0 multi=189.2615 len=9495	0.00405	0.56943	0.00007	0.00843	4409	71
k127_4660231 flag=0 multi=53.4742 len=48600	0.00405	0.57414	0.00001	0.00196	4407	16
k127_1113895 flag=0 multi=100.5066 len=16974	0.00404	0.55498	0.00008	0.00965	4397	83
k127_3475165 flag=1 multi=84.9956 len=14514	0.00403	0.58570	0.00029	0.04018	4395	312
k127_5690071 flag=0 multi=101.5598 len=17857	0.00403	0.55810	0.00008	0.00961	4394	88
k127_1230781 flag=0 multi=63.6807 len=46237	0.00401	0.57709	0.00005	0.00678	4370	55
k127_5779808 flag=0 multi=167.9220 len=9937	0.00400	0.56124	0.00003	0.00365	4354	35
k127_997042 flag=0 multi=78.9127 len=15825	0.00399	0.57929	0.00000	0.00054	4349	4
k127_572666 flag=0 multi=114.5530 len=10635	0.00397	0.55336	0.00003	0.00269	4328	29
k127_561864 flag=0 multi=121.2845 len=12006	0.00397	0.55896	0.00002	0.00287	4328	27
k127_3018516 flag=1 multi=66.8996 len=50868	0.00397	0.55335	0.00017	0.01975	4325	187
k127_902419 flag=0 multi=99.5583 len=12671	0.00395	0.54080	0.00006	0.00773	4306	67
k127_654871 flag=0 multi=129.1470 len=13675	0.00394	0.54242	0.00000	0.00020	4291	3
k127_1067940 flag=0 multi=124.1395 len=9907	0.00394	0.55018	0.00019	0.02273	4288	202
k127_4440029 flag=1 multi=28.0000 len=43124	0.00393	0.53871	0.00038	0.04788	4280	415
k127_3212999 flag=0 multi=84.3277 len=16028	0.00391	0.55087	0.00057	0.07525	4262	617
k127_902207 flag=0 multi=95.2734 len=13938	0.00390	0.54618	0.00002	0.00205	4252	19
k127_559374 flag=0 multi=106.3783 len=7639	0.00390	0.54215	0.00012	0.01536	4248	135
k127_2013815 flag=0 multi=52.4728 len=59430	0.00390	0.54197	0.00011	0.01340	4245	120
k127_1369927 flag=0 multi=137.2808 len=16513	0.00390	0.53440	0.00009	0.01067	4245	94
k127_819347 flag=0 multi=53.3246 len=62147	0.00389	0.58419	0.00003	0.00384	4239	29
k127_1673317 flag=0 multi=103.9101 len=9653	0.00389	0.53616	0.00002	0.00177	4232	18
k127_5234256 flag=0 multi=83.7363 len=41269	0.00388	0.54990	0.00021	0.02570	4225	234
k127_2569226 flag=0 multi=119.8143 len=4974	0.00387	0.54605	0.00002	0.00145	4220	20
k127_776306 flag=1 multi=44.0132 len=41470	0.00384	0.54672	0.00003	0.00352	4185	34
k127_1554902 flag=0 multi=107.2569 len=13442	0.00384	0.53532	0.00001	0.00141	4185	14
k127_973911 flag=1 multi=31.1208 len=17281	0.00384	0.54848	0.00000	0.00004	4182	1
k127_1303888 flag=0 multi=190.9418 len=24913	0.00384	0.52730	0.00006	0.00684	4181	64
k127_2415689 flag=0 multi=85.9449 len=17476	0.00384	0.55464	0.00000	0.00036	4178	4
k127_1198573 flag=0 multi=117.1038 len=10175	0.00383	0.54246	0.00026	0.03531	4177	281
k127_3136320 flag=1 multi=34.0128 len=30846	0.00382	0.54422	0.00005	0.00569	4159	51
k127_2325412 flag=1 multi=166.1409 len=16434	0.00382	0.53282	0.00006	0.00744	4158	64
k127_2709463 flag=0 multi=93.0139 len=16324	0.00381	0.55184	0.00003	0.00365	4150	32
k127_3123527 flag=0 multi=95.0011 len=13984	0.00380	0.55954	0.00000	0.00056	4142	5
k127_5744566 flag=0 multi=77.1375 len=30421	0.00380	0.54078	0.00003	0.00332	4141	35
k127_368970 flag=1 multi=53.4193 len=2612	0.00379	0.50872	0.00000	0.00016	4125	3
k127_1722559 flag=0 multi=76.1304 len=30546	0.00379	0.53680	0.00001	0.00189	4123	15
k127_48324 flag=0 multi=35.1978 len=85254	0.00378	0.55612	0.00000	0.00021	4113	4
k127_495917 flag=0 multi=113.7868 len=11041	0.00377	0.52634	0.00006	0.00758	4107	65
k127_4089741 flag=0 multi=49.2119 len=64285	0.00376	0.54218	0.00000	0.00046	4096	4
k127_2282194 flag=0 multi=43.0045 len=31795	0.00375	0.54450	0.00001	0.00116	4085	11
k127_794185 flag=0 multi=136.5261 len=8831	0.00375	0.54350	0.00016	0.02325	4083	178
k127_1282899 flag=1 multi=24.1673 len=42416	0.00375	0.53882	0.00001	0.00095	4080	9
k127_1242637 flag=0 multi=131.9952 len=19474	0.00374	0.52605	0.00002	0.00198	4076	18
k127_3315909 flag=1 multi=67.8198 len=51776	0.00374	0.52237	0.00004	0.00452	4073	41
k127_801830 flag=0 multi=119.4815 len=6194	0.00374	0.52823	0.00012	0.01399	4071	129
k127_3570872 flag=0 multi=86.2567 len=19392	0.00373	0.52664	0.00007	0.00922	4067	80
k127_5132239 flag=1 multi=136.3623 len=16065	0.00373	0.51647	0.00012	0.01360	4061	127
k127_2091953 flag=0 multi=33.2554 len=40164	0.00373	0.53360	0.00002	0.00251	4060	26
k127_5945459 flag=1 multi=127.8175 len=18026	0.00373	0.52092	0.00041	0.04939	4058	443
k127_1717717 flag=1 multi=33.7564 len=3403	0.00372	0.53120	0.00088	0.12196	4054	957
k127_2955939 flag=1 multi=72.9421 len=12567	0.00372	0.53521	0.00008	0.01092	4054	88
k127_4172372 flag=0 multi=110.6059 len=19502	0.00372	0.52468	0.00002	0.00257	4051	23
k127_968211 flag=0 multi=33.0030 len=55640	0.00372	0.56067	0.00002	0.00240	4051	19
k127_5893541 flag=0 multi=39.0031 len=56661	0.00372	0.55854	0.00003	0.00367	4047	29
k127_2740284 flag=1 multi=32.0000 len=38622	0.00370	0.52798	0.00002	0.00283	4033	24
k127_1611436 flag=1 multi=40.0382 len=53395	0.00370	0.55438	0.00006	0.00884	4029	67
k127_65665 flag=0 multi=82.0964 len=15500	0.00370	0.50887	0.00011	0.01365	4026	124
k127_197848 flag=0 multi=114.3946 len=15660	0.00369	0.51210	0.00011	0.01251	4020	116
k127_244101 flag=0 multi=99.9651 len=12981	0.00369	0.51940	0.00002	0.00179	4018	17
k127_2116751 flag=1 multi=34.8218 len=37532	0.00368	0.52239	0.00002	0.00247	4009	24
k127_2618693 flag=1 multi=89.5662 len=6746	0.00368	0.51465	0.00000	0.00005	4009	1
k127_5209664 flag=0 multi=97.2879 len=14197	0.00367	0.51403	0.00000	0.00016	4001	3
k127_1717680 flag=0 multi=75.0000 len=6574	0.00366	0.51239	0.00000	0.00015	3983	1
k127_2678625 flag=0 multi=70.6112 len=45512	0.00365	0.53487	0.00003	0.00316	3981	33
k127_3011373 flag=0 multi=101.0283 len=4856	0.00365	0.52393	0.00000	0.00015	3974	2
k127_4015332 flag=1 multi=43.5610 len=45577	0.00365	0.52796	0.00001	0.00092	3971	9
