#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads
k127_537175 flag=0 multi=29.0022 len=59486	0.01249	2.10970	0.00011	0.01724	15913	137
k127_4898310 flag=1 multi=37.0000 len=40211	0.01248	2.08986	0.00012	0.01943	15897	159
k127_3776299 flag=1 multi=34.0000 len=43017	0.01236	2.05460	0.00012	0.02012	15737	158
k127_1957695 flag=1 multi=30.8735 len=44253	0.01208	2.00528	0.00007	0.01171	15386	94
k127_1125919 flag=0 multi=32.0021 len=55381	0.01184	1.98328	0.00003	0.00374	15077	42
k127_1478511 flag=1 multi=29.0018 len=48524	0.01176	1.99888	0.00007	0.01039	14976	86
k127_1028992 flag=0 multi=34.0011 len=38549	0.01171	1.94816	0.00009	0.01337	14908	120
k127_2524313 flag=1 multi=33.0000 len=53009	0.01163	1.95724	0.00002	0.00182	14818	23
k127_3002028 flag=1 multi=34.0000 len=35679	0.01151	1.90307	0.00017	0.02455	14659	214
k127_2628796 flag=0 multi=42.8497 len=47552	0.01129	1.88319	0.00000	0.00011	14381	2
k127_594529 flag=1 multi=45.0000 len=47998	0.01122	1.89615	0.00001	0.00163	14296	17
k127_1313072 flag=1 multi=30.9354 len=52878	0.01116	1.87057	0.00002	0.00262	14211	22
k127_2042820 flag=0 multi=27.9599 len=50000	0.01112	1.88952	0.00000	0.00021	14161	3
k127_1839144 flag=0 multi=37.0120 len=50481	0.01108	1.86400	0.00002	0.00294	14109	25
k127_3822535 flag=1 multi=31.0000 len=70618	0.01091	1.80711	0.00008	0.01160	13896	97
k127_2566030 flag=0 multi=39.3583 len=43720	0.01038	1.76581	0.00003	0.00409	13224	39
k127_3405881 flag=0 multi=63.2279 len=42927	0.01024	1.72697	0.00001	0.00095	13036	9
k127_3478977 flag=1 multi=40.0366 len=41953	0.01020	1.71026	0.00004	0.00664	12986	55
k127_1901797 flag=1 multi=24.0000 len=48894	0.01013	1.71750	0.00001	0.00109	12897	10
k127_1333817 flag=0 multi=41.4210 len=38715	0.01002	1.69735	0.00004	0.00663	12767	48
k127_2724567 flag=0 multi=59.2307 len=40602	0.01002	1.67749	0.00001	0.00194	12760	19
k127_513725 flag=1 multi=26.0000 len=42762	0.00983	1.65327	0.00001	0.00220	12515	18
k127_1368212 flag=0 multi=27.1554 len=44391	0.00970	1.64111	0.00001	0.00179	12351	13
k127_663563 flag=0 multi=37.0242 len=69851	0.00963	1.66686	0.00001	0.00064	12270	8
k127_834870 flag=0 multi=48.8565 len=29636	0.00963	1.63725	0.00000	0.00073	12266	5
k127_5021718 flag=1 multi=31.0000 len=46024	0.00952	1.61098	0.00003	0.00447	12120	39
k127_154429 flag=0 multi=45.0588 len=37221	0.00950	1.60724	0.00000	0.00028	12097	2
k127_65047 flag=0 multi=28.0001 len=41407	0.00945	1.59284	0.00000	0.00037	12034	5
k127_305920 flag=1 multi=26.0000 len=63849	0.00934	1.53760	0.00008	0.01226	11891	102
k127_1275334 flag=0 multi=32.9969 len=43535	0.00933	1.58098	0.00001	0.00122	11886	15
k127_3734596 flag=0 multi=37.0060 len=33059	0.00924	1.54484	0.00004	0.00658	11772	57
k127_5934938 flag=0 multi=31.9985 len=40809	0.00920	1.55761	0.00002	0.00234	11717	22
k127_663109 flag=0 multi=43.8299 len=37601	0.00903	1.51863	0.00000	0.00044	11496	6
k127_4728188 flag=0 multi=41.9860 len=29392	0.00890	1.48566	0.00004	0.00614	11339	56
k127_3342179 flag=1 multi=33.0000 len=39034	0.00885	1.49243	0.00000	0.00042	11267	5
k127_4173746 flag=0 multi=42.0103 len=36271	0.00884	1.49740	0.00007	0.01071	11257	83
k127_5163541 flag=0 multi=37.0177 len=36043	0.00863	1.45428	0.00002	0.00294	10992	25
k127_708755 flag=1 multi=40.0000 len=1341	0.00860	1.51389	0.00005	0.00904	10949	69
k127_1136262 flag=0 multi=34.9990 len=30503	0.00859	1.45478	0.00001	0.00148	10944	14
k127_4495099 flag=1 multi=20.0000 len=58640	0.00849	1.39971	0.00002	0.00278	10812	26
k127_1167110 flag=0 multi=26.3900 len=70961	0.00845	1.46095	0.00001	0.00139	10763	14
k127_4851116 flag=1 multi=26.7108 len=40062	0.00845	1.42841	0.00001	0.00134	10761	13
k127_4815304 flag=1 multi=144.0000 len=3152	0.00845	1.49025	0.00013	0.02316	10759	171
k127_2385796 flag=1 multi=25.0000 len=33265	0.00843	1.42100	0.00004	0.00571	10735	46
k127_3011507 flag=0 multi=44.1331 len=39575	0.00833	1.39153	0.00001	0.00147	10614	12
k127_3981420 flag=0 multi=51.0371 len=36934	0.00831	1.39782	0.00005	0.00714	10584	68
k127_282614 flag=0 multi=27.0188 len=36751	0.00816	1.37389	0.00018	0.02559	10395	229
k127_1769946 flag=0 multi=48.7008 len=33075	0.00803	1.35695	0.00001	0.00127	10233	12
k127_783774 flag=0 multi=26.0118 len=36366	0.00801	1.35487	0.00001	0.00173	10199	15
k127_1201638 flag=1 multi=25.0000 len=48202	0.00792	1.32017	0.00010	0.01460	10085	126
k127_126368 flag=1 multi=36.9893 len=33913	0.00788	1.32478	0.00010	0.01673	10035	129
k127_5771959 flag=0 multi=38.9623 len=26718	0.00788	1.31996	0.00012	0.01737	10033	150
k127_1379129 flag=1 multi=38.5708 len=36895	0.00785	1.31698	0.00002	0.00279	10000	29
k127_2878715 flag=1 multi=21.9908 len=57178	0.00782	1.29462	0.00002	0.00266	9958	25
k127_5812826 flag=0 multi=32.9997 len=32515	0.00781	1.33055	0.00006	0.00958	9951	82
k127_2350032 flag=1 multi=41.3401 len=29521	0.00770	1.27739	0.00002	0.00303	9804	30
k127_187212 flag=1 multi=35.0000 len=26869	0.00768	1.27591	0.00007	0.01056	9786	89
k127_5603369 flag=1 multi=29.2351 len=30053	0.00767	1.29541	0.00002	0.00261	9770	25
k127_3488964 flag=1 multi=44.0000 len=22452	0.00758	1.27127	0.00008	0.01113	9660	97
k127_653430 flag=1 multi=24.0000 len=36646	0.00747	1.26622	0.00005	0.00709	9519	65
k127_4761651 flag=1 multi=34.0000 len=22321	0.00745	1.24667	0.00019	0.02988	9491	247
k127_4901171 flag=1 multi=23.0000 len=49470	0.00744	1.23170	0.00005	0.00781	9477	68
k127_1454653 flag=0 multi=66.4946 len=7943	0.00737	1.29394	0.00005	0.00796	9388	66
k127_765483 flag=0 multi=45.9915 len=28942	0.00736	1.23465	0.00000	0.00044	9368	4
k127_140824 flag=1 multi=35.0000 len=29979	0.00735	1.24102	0.00001	0.00107	9358	12
k127_813288 flag=1 multi=43.7778 len=28566	0.00734	1.22090	0.00002	0.00211	9347	22
k127_4059360 flag=0 multi=31.1806 len=31870	0.00731	1.22648	0.00001	0.00147	9308	13
k127_4072597 flag=1 multi=28.9536 len=34729	0.00730	1.23680	0.00001	0.00108	9296	15
k127_4440029 flag=1 multi=28.0000 len=43124	0.00725	1.20491	0.00012	0.01831	9237	153
k127_1232953 flag=0 multi=31.4457 len=30091	0.00722	1.22090	0.00002	0.00250	9190	22
k127_1295225 flag=0 multi=26.0663 len=32528	0.00719	1.20505	0.00001	0.00077	9152	8
k127_712409 flag=0 multi=50.5618 len=50892	0.00717	1.21024	0.00002	0.00242	9127	23
k127_1026592 flag=0 multi=39.0000 len=27354	0.00713	1.19885	0.00000	0.00005	9086	1
k127_1174630 flag=0 multi=37.9978 len=22784	0.00695	1.16982	0.00011	0.01821	8853	146
k127_4238587 flag=0 multi=27.2162 len=33176	0.00695	1.18019	0.00001	0.00121	8846	9
k127_4144260 flag=1 multi=71.0000 len=44847	0.00692	1.14356	0.00004	0.00505	8817	48
k127_5238035 flag=0 multi=28.0015 len=26072	0.00690	1.15759	0.00001	0.00146	8784	15
k127_4237386 flag=0 multi=95.2390 len=16443	0.00683	1.17353	0.00000	0.00005	8702	1
k127_4173421 flag=1 multi=51.0000 len=46402	0.00682	1.12796	0.00010	0.01338	8680	126
k127_4500670 flag=0 multi=62.8604 len=18278	0.00677	1.14422	0.00002	0.00286	8624	26
k127_754156 flag=0 multi=29.9936 len=45593	0.00674	1.11347	0.00008	0.01197	8583	107
k127_618656 flag=1 multi=29.0000 len=40738	0.00671	1.10847	0.00008	0.01245	8544	104
k127_4608794 flag=0 multi=24.5559 len=31016	0.00671	1.13165	0.00001	0.00058	8544	9
k127_2446553 flag=0 multi=50.1130 len=20139	0.00663	1.10751	0.00004	0.00494	8447	45
k127_4879545 flag=0 multi=37.7392 len=30781	0.00662	1.11158	0.00001	0.00059	8436	7
k127_1602232 flag=1 multi=26.3953 len=50791	0.00661	1.14791	0.00000	0.00041	8424	5
k127_1123752 flag=0 multi=28.8357 len=20904	0.00656	1.11622	0.00001	0.00077	8357	8
k127_2187010 flag=0 multi=37.0228 len=27941	0.00653	1.10497	0.00010	0.01643	8314	132
k127_905244 flag=1 multi=63.2254 len=24605	0.00650	1.08905	0.00001	0.00098	8275	13
k127_3819968 flag=0 multi=86.3439 len=20759	0.00647	1.11085	0.00000	0.00000	8235	0
k127_4666432 flag=1 multi=26.9909 len=28855	0.00646	1.08906	0.00009	0.01482	8231	111
k127_1180300 flag=0 multi=40.0019 len=126570	0.00645	1.13786	0.00011	0.01923	8219	141
k127_5544598 flag=0 multi=28.0000 len=22758	0.00638	1.05708	0.00002	0.00242	8126	22
k127_2976711 flag=1 multi=23.0000 len=33006	0.00638	1.07308	0.00000	0.00019	8121	2
k127_2344985 flag=1 multi=31.0000 len=22807	0.00636	1.05849	0.00004	0.00613	8095	57
k127_1904423 flag=0 multi=41.0000 len=29703	0.00634	1.05717	0.00002	0.00252	8074	21
k127_504465 flag=0 multi=93.1792 len=18503	0.00633	1.07357	0.00001	0.00184	8065	17
k127_696474 flag=0 multi=26.0137 len=22428	0.00631	1.05888	0.00004	0.00570	8040	53
k127_1458121 flag=0 multi=25.6388 len=41261	0.00631	1.04984	0.00001	0.00162	8039	16
k127_301686 flag=0 multi=56.7699 len=16057	0.00629	1.07083	0.00001	0.00082	8013	8
k127_2617587 flag=0 multi=31.0000 len=21998	0.00627	1.05037	0.00002	0.00214	7991	30
k127_2974363 flag=0 multi=26.0000 len=22455	0.00627	1.06218	0.00004	0.00664	7987	54
k127_1016042 flag=0 multi=71.8755 len=17256	0.00626	1.05277	0.00000	0.00028	7971	2
k127_801534 flag=0 multi=43.7229 len=24323	0.00623	1.04450	0.00004	0.00525	7932	48
k127_728913 flag=0 multi=28.4577 len=26438	0.00620	1.05025	0.00000	0.00071	7899	6
k127_4389068 flag=0 multi=26.0000 len=30508	0.00618	1.04475	0.00001	0.00244	7871	18
k127_3575920 flag=1 multi=26.0020 len=28967	0.00615	1.04641	0.00000	0.00005	7838	1
k127_4356268 flag=0 multi=29.0000 len=21100	0.00615	1.02613	0.00015	0.02385	7835	197
k127_1157765 flag=0 multi=32.4094 len=26166	0.00615	1.04173	0.00002	0.00298	7833	26
k127_1720633 flag=0 multi=50.0005 len=9397	0.00614	1.03841	0.00054	0.08689	7817	689
k127_141969 flag=0 multi=33.8297 len=23751	0.00608	1.01616	0.00007	0.00977	7749	89
k127_2015620 flag=0 multi=42.3267 len=24441	0.00605	1.01256	0.00002	0.00331	7711	30
k127_4635531 flag=0 multi=37.1588 len=25851	0.00605	1.02966	0.00001	0.00065	7700	8
k127_4090536 flag=0 multi=28.0009 len=27124	0.00599	1.00872	0.00002	0.00287	7632	26
k127_41791 flag=0 multi=22.0003 len=37745	0.00593	0.98240	0.00001	0.00182	7557	18
k127_3390878 flag=1 multi=23.4620 len=40257	0.00590	0.97705	0.00002	0.00310	7514	28
k127_4847713 flag=1 multi=182.9248 len=6138	0.00586	1.03244	0.00030	0.05144	7469	376
k127_4829135 flag=0 multi=27.0248 len=27723	0.00582	0.98629	0.00004	0.00551	7412	51
k127_2676174 flag=0 multi=30.9992 len=19896	0.00581	0.96009	0.00003	0.00358	7395	37
k127_5606962 flag=0 multi=28.9981 len=24144	0.00576	0.98275	0.00001	0.00154	7331	13
k127_1357745 flag=0 multi=35.9468 len=20855	0.00572	0.96901	0.00003	0.00488	7282	42
k127_3125646 flag=1 multi=22.6534 len=39954	0.00571	0.94711	0.00004	0.00624	7274	55
k127_1748040 flag=1 multi=60.0000 len=1632	0.00568	1.00950	0.00000	0.00000	7234	0
k127_2868565 flag=0 multi=47.0040 len=20297	0.00568	0.96780	0.00004	0.00539	7228	51
k127_501044 flag=0 multi=45.6738 len=15101	0.00566	0.97643	0.00000	0.00029	7214	2
k127_5747593 flag=1 multi=109.9950 len=1523	0.00565	0.99621	0.00000	0.00016	7192	2
k127_470533 flag=0 multi=29.0117 len=24257	0.00564	0.94271	0.00000	0.00023	7185	3
k127_1562927 flag=0 multi=27.0016 len=38554	0.00563	0.93189	0.00001	0.00094	7175	9
k127_646042 flag=0 multi=22.9992 len=22493	0.00560	0.94310	0.00001	0.00104	7131	12
k127_4214477 flag=0 multi=24.0000 len=37227	0.00558	0.92680	0.00003	0.00408	7109	41
k127_2772426 flag=0 multi=38.0018 len=25157	0.00558	0.94651	0.00000	0.00049	7109	5
k127_28664 flag=1 multi=93.8683 len=13495	0.00549	0.93777	0.00001	0.00197	6989	15
k127_3501316 flag=1 multi=23.0000 len=36846	0.00548	0.89818	0.00002	0.00244	6978	23
k127_2296187 flag=1 multi=46.0000 len=35665	0.00547	0.89915	0.00014	0.02080	6962	184
k127_2122367 flag=0 multi=99.8385 len=13726	0.00543	0.93082	0.00001	0.00158	6911	16
k127_5723717 flag=1 multi=23.0000 len=36192	0.00542	0.90176	0.00003	0.00412	6909	38
k127_4314124 flag=0 multi=32.1019 len=36058	0.00541	0.89851	0.00006	0.00993	6893	81
k127_1095542 flag=1 multi=83.7189 len=2610	0.00540	0.90542	0.00001	0.00179	6874	17
k127_3359296 flag=0 multi=62.2075 len=22861	0.00539	0.90737	0.00000	0.00022	6859	2
k127_5179125 flag=0 multi=153.1932 len=5065	0.00538	0.94449	0.00028	0.04873	6857	357
k127_1990700 flag=0 multi=30.1531 len=22556	0.00538	0.91242	0.00001	0.00177	6854	16
k127_4488350 flag=1 multi=28.0263 len=25501	0.00538	0.91247	0.00003	0.00347	6851	34
k127_610393 flag=0 multi=31.0000 len=22390	0.00537	0.91302	0.00001	0.00129	6839	13
k127_3337991 flag=0 multi=26.1768 len=45104	0.00536	0.92754	0.00000	0.00011	6823	1
k127_587873 flag=0 multi=64.9479 len=15377	0.00535	0.90676	0.00001	0.00093	6814	9
k127_4234593 flag=0 multi=110.9971 len=13596	0.00534	0.91986	0.00001	0.00189	6807	17
k127_2606210 flag=0 multi=81.0453 len=25625	0.00533	0.89277	0.00000	0.00050	6794	5
k127_1164020 flag=1 multi=51.0000 len=12695	0.00525	0.88294	0.00016	0.02483	6681	206
k127_5931263 flag=0 multi=31.0070 len=21417	0.00525	0.89243	0.00004	0.00571	6680	50
k127_460674 flag=1 multi=100.3632 len=14517	0.00524	0.89530	0.00003	0.00485	6672	40
k127_310421 flag=1 multi=53.0123 len=21686	0.00522	0.88267	0.00002	0.00319	6653	25
k127_3496594 flag=1 multi=36.0000 len=22970	0.00520	0.87134	0.00001	0.00077	6617	10
k127_2082481 flag=1 multi=23.0000 len=22584	0.00514	0.86275	0.00001	0.00212	6542	18
k127_343578 flag=0 multi=67.7373 len=12599	0.00511	0.87704	0.00000	0.00038	6511	4
k127_3696732 flag=0 multi=44.2413 len=32967	0.00511	0.84122	0.00012	0.01773	6508	149
k127_4763375 flag=0 multi=32.9950 len=26061	0.00510	0.85944	0.00001	0.00216	6492	18
k127_270680 flag=0 multi=86.2098 len=14586	0.00507	0.86951	0.00001	0.00198	6455	16
k127_770170 flag=1 multi=63.5215 len=14937	0.00506	0.86536	0.00001	0.00118	6441	10
k127_144342 flag=0 multi=74.1807 len=17360	0.00505	0.86006	0.00008	0.01126	6438	100
k127_2892241 flag=1 multi=26.0000 len=33256	0.00502	0.83270	0.00003	0.00455	6391	39
k127_351803 flag=0 multi=148.4175 len=6450	0.00498	0.86128	0.00016	0.02111	6341	198
k127_177296 flag=0 multi=112.9219 len=6872	0.00496	0.85909	0.00000	0.00050	6311	4
k127_1355597 flag=1 multi=63.6028 len=3370	0.00495	0.86602	0.00062	0.10161	6306	784
k127_2197661 flag=0 multi=115.4493 len=11936	0.00495	0.85338	0.00000	0.00028	6304	3
k127_5294104 flag=1 multi=47.0295 len=13696	0.00494	0.84650	0.00000	0.00015	6287	1
k127_2928422 flag=1 multi=25.2574 len=30476	0.00490	0.80668	0.00004	0.00609	6237	49
k127_226448 flag=0 multi=69.2406 len=17141	0.00488	0.82946	0.00006	0.00910	6220	80
k127_3364999 flag=0 multi=23.1045 len=21288	0.00487	0.81981	0.00001	0.00093	6204	9
k127_2393335 flag=0 multi=73.7897 len=11979	0.00484	0.82253	0.00000	0.00022	6165	3
k127_5632581 flag=1 multi=165.0000 len=1364	0.00481	0.84205	0.00000	0.00000	6132	0
k127_3729166 flag=0 multi=26.0061 len=23004	0.00481	0.80946	0.00002	0.00352	6124	31
k127_4462090 flag=1 multi=48.0000 len=11079	0.00481	0.79812	0.00047	0.07247	6123	599
k127_202275 flag=1 multi=24.8605 len=32582	0.00475	0.80717	0.00010	0.01648	6053	128
k127_1282376 flag=0 multi=66.9506 len=12702	0.00475	0.80815	0.00001	0.00226	6053	17
k127_1516280 flag=1 multi=61.7836 len=13220	0.00470	0.80440	0.00000	0.00000	5980	0
k127_5724467 flag=0 multi=25.0119 len=30440	0.00466	0.77646	0.00003	0.00392	5936	36
k127_5283228 flag=1 multi=29.9932 len=30193	0.00465	0.76005	0.00007	0.00840	5916	87
k127_4864211 flag=0 multi=38.0000 len=27772	0.00462	0.76326	0.00006	0.00761	5885	72
k127_692810 flag=1 multi=72.3908 len=14657	0.00459	0.78270	0.00005	0.00790	5847	62
k127_692901 flag=0 multi=37.5122 len=25508	0.00458	0.76187	0.00016	0.02575	5831	201
k127_974992 flag=1 multi=40.9426 len=33616	0.00456	0.76302	0.00004	0.00619	5805	52
k127_1275372 flag=0 multi=62.0868 len=11800	0.00456	0.77978	0.00001	0.00210	5804	17
k127_3683032 flag=0 multi=30.7081 len=16959	0.00455	0.76626	0.00000	0.00071	5801	6
k127_107502 flag=0 multi=72.1588 len=4289	0.00455	0.79501	0.00065	0.10996	5798	833
k127_13460 flag=0 multi=70.2712 len=10725	0.00455	0.78166	0.00001	0.00086	5790	11
k127_5097878 flag=1 multi=30.4345 len=21198	0.00452	0.76462	0.00000	0.00015	5755	1
k127_5481428 flag=0 multi=60.6605 len=11669	0.00452	0.77490	0.00000	0.00055	5753	4
k127_1111615 flag=0 multi=155.9952 len=4114	0.00450	0.75651	0.00025	0.03338	5730	323
k127_2817772 flag=0 multi=61.3839 len=15974	0.00449	0.75448	0.00003	0.00403	5720	33
k127_1196546 flag=1 multi=34.9953 len=31475	0.00446	0.75128	0.00004	0.00589	5686	49
k127_1444565 flag=0 multi=205.0000 len=1106	0.00443	0.77402	0.00000	0.00000	5643	0
k127_1680681 flag=1 multi=74.0000 len=1106	0.00443	0.78219	0.00000	0.00000	5642	0
k127_4128389 flag=1 multi=32.0000 len=18080	0.00442	0.74643	0.00001	0.00089	5632	9
k127_3556169 flag=0 multi=18.0085 len=33186	0.00441	0.72581	0.00002	0.00333	5622	30
k127_1818591 flag=1 multi=34.8396 len=30806	0.00441	0.75269	0.00002	0.00255	5620	22
k127_439076 flag=0 multi=28.0048 len=29336	0.00439	0.72598	0.00002	0.00245	5596	24
k127_2002550 flag=0 multi=31.7751 len=32071	0.00438	0.76073	0.00000	0.00056	5573	4
k127_2243770 flag=0 multi=109.8715 len=12768	0.00435	0.74178	0.00003	0.00603	5536	44
k127_822453 flag=0 multi=26.3057 len=20185	0.00434	0.73045	0.00000	0.00040	5530	5
k127_390813 flag=1 multi=97.6906 len=16693	0.00434	0.76912	0.00000	0.00029	5529	2
k127_550491 flag=1 multi=182.2265 len=9379	0.00434	0.74487	0.00000	0.00021	5527	2
k127_506201 flag=0 multi=95.5848 len=11310	0.00432	0.73957	0.00000	0.00057	5506	4
k127_4252839 flag=0 multi=26.8773 len=24919	0.00431	0.71762	0.00015	0.02241	5490	190
k127_935129 flag=0 multi=72.5738 len=11724	0.00429	0.73660	0.00005	0.00768	5459	60
k127_1644106 flag=0 multi=35.3395 len=23827	0.00428	0.70966	0.00009	0.01349	5451	117
k127_3340373 flag=1 multi=29.0000 len=17011	0.00427	0.71875	0.00000	0.00010	5439	2
k127_167300 flag=0 multi=24.0072 len=27386	0.00424	0.69990	0.00002	0.00294	5396	25
k127_1223380 flag=0 multi=48.9674 len=18707	0.00423	0.71612	0.00000	0.00005	5383	1
k127_2205550 flag=0 multi=54.1574 len=27225	0.00423	0.70950	0.00011	0.01694	5382	135
k127_1652851 flag=0 multi=43.9953 len=12786	0.00421	0.70604	0.00009	0.01412	5363	111
k127_4139465 flag=0 multi=45.0008 len=16063	0.00418	0.70404	0.00002	0.00245	5323	20
k127_4016489 flag=1 multi=55.6783 len=17896	0.00417	0.70279	0.00001	0.00171	5312	14
k127_5757472 flag=0 multi=31.9907 len=33564	0.00417	0.71705	0.00000	0.00006	5305	1
k127_4426056 flag=1 multi=17.0000 len=27493	0.00416	0.68601	0.00007	0.00929	5300	83
k127_4365788 flag=0 multi=81.8477 len=10276	0.00415	0.70336	0.00000	0.00020	5280	2
