#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads
k127_3643470 flag=0 multi=34.1915 len=260285	0.07309	12.18972	0.00045	0.06314	93092	568
k127_3829984 flag=0 multi=34.4092 len=218014	0.06515	10.94150	0.00026	0.03622	82977	333
k127_94854 flag=0 multi=32.7109 len=219063	0.06143	10.24136	0.00053	0.07850	78239	669
k127_4185340 flag=1 multi=31.6477 len=199865	0.05940	9.88860	0.00064	0.09528	75648	820
k127_4614616 flag=0 multi=32.0715 len=211193	0.05871	9.78716	0.00009	0.01120	74772	109
k127_509748 flag=0 multi=36.9680 len=175576	0.05726	9.59562	0.00015	0.02080	72932	196
k127_2150359 flag=1 multi=34.0000 len=190907	0.05515	9.18234	0.00037	0.05472	70234	477
k127_4255372 flag=0 multi=34.2773 len=178920	0.05318	8.86592	0.00032	0.04617	67732	410
k127_1080884 flag=0 multi=35.9976 len=147472	0.04387	7.30998	0.00047	0.06710	55876	595
k127_3481600 flag=1 multi=37.4755 len=121740	0.03871	6.46186	0.00034	0.05164	49304	433
k127_4801738 flag=0 multi=33.0001 len=127316	0.03696	6.17347	0.00035	0.05522	47076	440
k127_3509588 flag=1 multi=34.0000 len=131255	0.03655	6.08418	0.00017	0.02447	46551	216
k127_3399262 flag=0 multi=29.8326 len=151865	0.03627	6.13445	0.00006	0.00924	46189	81
k127_572266 flag=0 multi=30.1550 len=161551	0.03531	5.93300	0.00005	0.00616	44969	69
k127_3223167 flag=1 multi=30.2525 len=109605	0.03341	5.55763	0.00022	0.03055	42551	277
k127_3144635 flag=0 multi=38.0000 len=98596	0.03166	5.33257	0.00013	0.01880	40323	168
k127_1715094 flag=1 multi=34.0000 len=92181	0.02978	4.97293	0.00023	0.03553	37931	298
k127_2805935 flag=1 multi=28.0000 len=113323	0.02920	4.84345	0.00012	0.01602	37184	148
k127_1028878 flag=0 multi=36.0090 len=97927	0.02907	4.87417	0.00003	0.00495	37017	44
k127_4862409 flag=1 multi=31.0000 len=125913	0.02709	4.58619	0.00007	0.01017	34497	95
k127_1784714 flag=1 multi=36.2540 len=91096	0.02675	4.48338	0.00004	0.00446	34074	51
k127_2351168 flag=1 multi=34.0000 len=90399	0.02617	4.38452	0.00006	0.00786	33329	82
k127_3388307 flag=1 multi=34.0000 len=90684	0.02454	4.08437	0.00004	0.00563	31258	57
k127_3910587 flag=0 multi=23.9237 len=124648	0.02385	4.02913	0.00004	0.00584	30369	52
k127_3707637 flag=0 multi=34.9956 len=76380	0.02378	3.96781	0.00015	0.02200	30283	187
k127_124549 flag=0 multi=24.7231 len=115023	0.02312	3.91255	0.00001	0.00161	29443	16
k127_2499393 flag=0 multi=35.4900 len=81252	0.02265	3.78344	0.00015	0.02193	28847	193
k127_652937 flag=1 multi=25.5442 len=89768	0.02155	3.60774	0.00002	0.00307	27452	28
k127_5826072 flag=1 multi=37.2781 len=68918	0.02137	3.55043	0.00008	0.01072	27219	101
k127_4408076 flag=1 multi=29.5909 len=84577	0.02126	3.58423	0.00001	0.00073	27081	9
k127_5380480 flag=1 multi=28.6911 len=90307	0.02066	3.46569	0.00004	0.00588	26317	55
k127_918418 flag=0 multi=36.0000 len=64775	0.02019	3.37736	0.00011	0.01732	25711	146
k127_1045442 flag=0 multi=35.9427 len=59343	0.02013	3.37045	0.00071	0.11653	25643	908
k127_5172166 flag=0 multi=37.0017 len=78827	0.01988	3.36062	0.00004	0.00552	25320	46
k127_5142076 flag=1 multi=28.9970 len=94633	0.01983	3.34373	0.00004	0.00484	25255	45
k127_5029223 flag=0 multi=90.2012 len=4198	0.01880	3.29171	0.00000	0.00000	23948	0
k127_4314044 flag=1 multi=36.0000 len=75914	0.01840	3.12042	0.00003	0.00367	23434	40
k127_4952753 flag=1 multi=26.0000 len=85199	0.01799	3.03090	0.00002	0.00208	22908	27
k127_1755314 flag=0 multi=33.9959 len=80732	0.01786	3.02729	0.00003	0.00389	22745	43
k127_3509612 flag=0 multi=28.0007 len=68596	0.01744	2.92126	0.00001	0.00107	22207	11
k127_1794954 flag=1 multi=194.0000 len=1074	0.01722	3.02348	0.00006	0.00984	21932	75
k127_741329 flag=0 multi=26.3769 len=78849	0.01720	2.88908	0.00003	0.00286	21904	41
k127_4370128 flag=1 multi=32.0000 len=49079	0.01702	2.83016	0.00035	0.05445	21678	446
k127_2628231 flag=0 multi=30.9980 len=54598	0.01618	2.70527	0.00022	0.03266	20606	284
k127_3361474 flag=0 multi=28.4352 len=68188	0.01608	2.72634	0.00003	0.00271	20474	33
k127_5520739 flag=1 multi=30.0000 len=51083	0.01577	2.62596	0.00025	0.03719	20086	318
k127_3560723 flag=0 multi=49.6285 len=64588	0.01553	2.61939	0.00001	0.00090	19776	10
k127_5473901 flag=0 multi=34.1554 len=72105	0.01535	2.59469	0.00002	0.00199	19555	23
k127_2110843 flag=1 multi=32.0000 len=51520	0.01529	2.54821	0.00005	0.00639	19467	60
k127_3396985 flag=1 multi=33.0000 len=62459	0.01499	2.54101	0.00003	0.00383	19090	32
k127_2521574 flag=1 multi=42.0000 len=40002	0.01463	2.45405	0.00014	0.02041	18630	173
k127_4773262 flag=0 multi=25.0552 len=70756	0.01462	2.47681	0.00007	0.01090	18626	83
k127_5681879 flag=1 multi=25.9963 len=67204	0.01449	2.44047	0.00003	0.00373	18454	34
k127_2424544 flag=0 multi=28.0092 len=71012	0.01420	2.41282	0.00003	0.00359	18089	34
k127_4657065 flag=0 multi=33.0051 len=46311	0.01384	2.31459	0.00018	0.02766	17632	233
k127_1224128 flag=0 multi=36.0340 len=56407	0.01361	2.29697	0.00005	0.00714	17335	63
k127_472697 flag=0 multi=35.2851 len=53752	0.01350	2.27023	0.00001	0.00061	17199	8
k127_1901786 flag=1 multi=28.0000 len=57257	0.01335	2.25707	0.00000	0.00030	16998	5
k127_3595111 flag=1 multi=38.3739 len=56276	0.01333	2.23406	0.00001	0.00062	16974	10
k127_530957 flag=0 multi=36.1707 len=34994	0.01308	2.19605	0.00027	0.04192	16658	348
k127_1486879 flag=1 multi=32.4475 len=43370	0.01289	2.13423	0.00009	0.01293	16411	114
k127_2062620 flag=0 multi=29.3201 len=60085	0.01270	2.13193	0.00000	0.00016	16177	2
k127_487151 flag=0 multi=113.5763 len=32954	0.01255	2.14191	0.00000	0.00054	15981	5
k127_48324 flag=0 multi=35.1978 len=85254	0.01250	2.17118	0.00001	0.00043	15915	7
